PM2_5,temp,humidity
57.60314999999999,25.4,84.5
56.18084999999999,25.2,84.9
50.7287,25.1,85.2
46.4187,24.9,85.2
45.57824999999999,24.8,85.4
57.4954,24.8,85.9
75.96374999999999,24.8,86.6
82.64425,24.7,87.2
82.4934,24.6,87.6
84.99319999999999,24.4,88.0
82.51494999999998,24.4,88.1
74.62765,24.3,88.2
69.82199999999999,24.1,88.4
68.50744999999999,24.0,88.8
67.86094999999999,23.9,89.0
69.9082,23.8,89.1
74.43369999999999,23.7,89.3
78.89455,23.6,89.3
81.3297,23.6,89.4
77.92479999999999,23.5,89.4
71.78305,23.4,89.4
69.43409999999999,23.3,89.4
65.83525,23.3,89.3
61.30975,23.2,89.4
53.96119999999999,23.1,89.5
47.841,23.0,89.5
42.08715,22.9,89.6
41.2898,22.9,89.7
41.22514999999999,22.9,89.7
43.18619999999999,22.8,89.9
52.1079,22.8,90.0
64.9517,22.8,90.2
60.51239999999999,22.8,90.5
63.37855,22.7,90.6
61.30975,22.7,90.6
59.39179999999999,22.8,90.6
52.2372,22.8,90.6
48.2289,22.8,90.6
44.63005,22.8,90.5
44.75935,22.9,90.4
45.87995,22.8,90.3
45.49204999999999,22.8,90.4
49.0478,22.8,90.4
51.69845,22.9,90.4
59.909,22.9,90.5
66.9343,22.9,90.6
82.752,22.9,90.4
82.34254999999999,23.0,90.4
82.6227,23.0,90.6
86.95425,23.1,90.6
85.01474999999999,23.2,90.5
82.7089,23.3,90.5
82.29945,23.4,90.4
80.98489999999998,23.5,90.3
82.1917,23.6,90.2
75.4681,23.9,90.1
76.35164999999999,24.1,89.9
75.5974,24.4,89.5
80.96334999999999,24.7,88.7
91.09185,25.0,88.1
95.251,25.2,87.9
90.48845,25.5,87.3
86.35085,25.7,86.6
84.21739999999998,25.8,86.2
79.0885,26.0,86.0
68.2273,26.2,85.0
66.80499999999999,26.4,84.3
58.14189999999999,26.5,84.3
52.151,26.9,83.2
50.79335,27.2,82.4
46.95745,27.6,81.4
37.82025,28.1,80.2
34.76015,28.5,78.9
37.066,28.8,77.6
38.16505,29.1,76.9
41.376,29.3,75.7
44.0913,29.3,75.5
43.0138,29.3,75.0
44.37145,29.2,75.0
50.36235,29.2,75.0
68.24885,29.0,75.0
65.2103,28.9,75.7
60.1676,29.0,74.9
63.63715,28.9,74.9
63.85264999999999,28.7,75.1
61.80539999999999,28.5,75.1
62.926,28.4,75.4
70.89949999999999,28.2,76.2
72.10629999999999,28.0,76.7
74.54145,27.7,77.2
70.20989999999999,27.4,78.0
69.24015,27.1,78.6
79.19624999999999,26.8,79.6
88.37655,26.5,80.5
90.6824,26.4,81.2
91.91075,26.2,82.0
87.04044999999999,25.9,82.8
80.64009999999999,25.6,83.4
76.1577,25.5,84.0
82.14859999999999,25.3,84.5
78.98074999999999,25.1,84.8
82.12705,24.8,85.1
